Contact;1;Van Damme;Jean claude;aware@fullcircle.com;M;56;true;bob
Contact;2;Genial;Tortue;strong@kamehouse.com;M;150;false;karin
Contact;3;Uzumaki;naruto;naruto@ramenforever.com;M;15;false;bob
Contact;4;Haruno;Sakura;sakura@sasukefanclub.com;F;15;true;tsunade
Contact;5;Li;Chun;fighter@china.com;F;35;true;tsunade
Contact;6;kenshiro;ken;atatatatata@punch.com;M;40;false;bob
Contact;7;Matrix;John;commando@badass.com;M;75;true;karin
Contact;8;Anderson;Thomas;neo@gothic.com;M;27;false;morpheus
Contact;9;Li;Jet;dragon@fureur.com;M;29;true;morpheus
Contact;10;Courtalon;Vincent;vincent@courtalon.com;M;40;false;cristophe
